0.052	-0.6	0.74201	0.81103	--
0.052	-0.55	0.74094	0.81124	--
0.052	-0.5	0.73988	0.8113	--
0.052	-0.45	0.73886	0.81122	--
0.052	-0.4	0.7379	0.81099	--
0.052	-0.35	0.73702	0.81062	--
0.052	-0.3	0.73624	0.81014	--
0.052	-0.25	0.73556	0.80959	--
0.052	-0.2	0.735	0.80904	--
0.052	-0.15	0.73456	0.80852	--
0.052	-0.1	0.73425	0.80811	--
0.052	-0.05	0.73406	0.80783	--
0.052	0	0.73399	0.80774	--
0.052	0.05	0.73406	0.80783	--
0.052	0.1	0.73425	0.80811	--
0.052	0.15	0.73456	0.80852	--
0.052	0.2	0.735	0.80904	--
0.052	0.25	0.73556	0.80959	--
0.052	0.3	0.73624	0.81014	--
0.052	0.35	0.73702	0.81062	--
0.052	0.4	0.7379	0.81099	--
0.052	0.45	0.73886	0.81122	--
0.052	0.5	0.73988	0.8113	--
0.052	0.55	0.74094	0.81124	--
0.052	0.6	0.74201	0.81103	--
0.052	0.65	0.74308	0.81072	--
0.052	0.7	0.7441	0.81032	--
0.052	0.75	0.74504	0.80989	--
0.052	0.8	0.74587	0.80946	--
0.052	0.85	0.74656	0.80907	--
0.052	0.9	0.74708	0.80876	--
0.052	0.95	0.7474	0.80856	--
0.052	1	0.74751	0.80849	--
0.056	-1	0.74717	0.80795	--
0.056	-0.95	0.74706	0.808	--
0.056	-0.9	0.74674	0.80817	--
0.056	-0.85	0.74623	0.80841	--
0.056	-0.8	0.74555	0.80871	--
0.056	-0.75	0.74472	0.80903	--
0.056	-0.7	0.74379	0.80931	--
0.056	-0.65	0.74277	0.80952	--
0.056	-0.6	0.74172	0.80961	--
0.056	-0.55	0.74065	0.80955	--
0.056	-0.5	0.7396	0.80931	--
0.056	-0.45	0.73859	0.80888	--
0.056	-0.4	0.73765	0.80826	--
0.056	-0.35	0.73679	0.80747	--
0.056	-0.3	0.73602	0.80655	--
0.056	-0.25	0.73536	0.80557	--
0.056	-0.2	0.73482	0.8046	--
0.056	-0.15	0.73439	0.80373	--
0.056	-0.1	0.73409	0.80303	--
0.056	-0.05	0.73391	0.80258	--
0.056	0	0.73385	0.80242	--
0.056	0.05	0.73391	0.80258	--
0.056	0.1	0.73409	0.80303	--
0.056	0.15	0.73439	0.80373	--
0.056	0.2	0.73482	0.8046	--
0.056	0.25	0.73536	0.80557	--
0.056	0.3	0.73602	0.80655	--
0.056	0.35	0.73679	0.80747	--
0.056	0.4	0.73765	0.80826	--
0.056	0.45	0.73859	0.80888	--
0.056	0.5	0.7396	0.80931	--
0.056	0.55	0.74065	0.80955	--
0.056	0.6	0.74172	0.80961	--
0.056	0.65	0.74277	0.80952	--
0.056	0.7	0.74379	0.80931	--
0.056	0.75	0.74472	0.80903	--
0.056	0.8	0.74555	0.80871	--
0.056	0.85	0.74623	0.80841	--
0.056	0.9	0.74674	0.80817	--
0.056	0.95	0.74706	0.808	--
0.056	1	0.74717	0.80795	--
0.06	-1	0.74723	0.80789	--
0.06	-0.95	0.74712	0.80793	--
0.06	-0.9	0.74681	0.80807	--
0.06	-0.85	0.7463	0.80826	--
0.06	-0.8	0.74561	0.80849	--
0.06	-0.75	0.74479	0.8087	--
0.06	-0.7	0.74386	0.80885	--
0.06	-0.65	0.74285	0.8089	--
0.06	-0.6	0.7418	0.80879	--
0.06	-0.55	0.74073	0.80848	--
0.06	-0.5	0.73969	0.80795	--
0.06	-0.45	0.73869	0.80718	--
0.06	-0.4	0.73775	0.80617	--
0.06	-0.35	0.7369	0.80495	--
0.06	-0.3	0.73614	0.80357	--
0.06	-0.25	0.7355	0.80213	--
0.06	-0.2	0.73497	0.8007	--
0.06	-0.15	0.73456	0.79942	--
0.06	-0.1	0.73427	0.7984	--
0.06	-0.05	0.7341	0.79774	--
0.06	0	0.73404	0.79751	--
0.06	0.05	0.7341	0.79774	--
0.06	0.1	0.73427	0.7984	--
0.06	0.15	0.73456	0.79942	--
0.06	0.2	0.73497	0.8007	--
0.06	0.25	0.7355	0.80213	--
0.06	0.3	0.73614	0.80357	--
0.06	0.35	0.7369	0.80495	--
0.06	0.4	0.73775	0.80617	--
0.06	0.45	0.73869	0.80718	--
